GEOID20,District
34007043035,4
34007043002,4
34007043014,4
34007170004,4
34007155001,4
34007105002,4
34007105001,4
34007015005,4
34007015002,4
34007165001,4
34007085004,4
34007155003,4
34007115001,4
34007115002,4
34007155002,4
34007135018,2
34007135014,1
34007135003,2
34007135009,1
34007115003,4
34007075009,2
34007115004,4
34007150005,4
34007015004,4
34007015003,4
34007015001,4
34007090003,4
34007090002,4
34007020001,4
34007020007,4
34007075021,4
34007130001,2
34007055001,2
34007150003,4
34007150001,4
34007150004,4
34007150002,4
34007020002,2
34007125003,2
34007150006,2
34015010004,2
34007020004,2
34007020003,2
34007040404,2
34007040405,2
34007040402,2
34015010019,1
34015105001,2
34007035001,2
34015010020,2
34015010017,1
34015100003,2
34015010007,2
34015105003,1
34015010015,2
34015100002,2
34015105002,1
34015110103,2
34015110102,2
34029060016,8
34015110101,2
34015100010,2
34015100009,2
34029025320,8
34029025206,8
34015060002,2
34015100015,2
34015100008,2
34015100005,2
34015060003,2
34015100007,2
34015060004,2
34015060001,2
34015100001,2
34015100016,2
34015070005,4
34029005001,8
34029102002,8
34029025000,8
34029ZZZZZZ,6
34029060008,8
34029060015,8
34029085003,8
34029060007,8
34029060017,8
34029060011,8
34029102001,8
34029102005,8
34029102006,8
34029102004,8
34029150018,8
34029003002,8
34029003004,8
34029003006,8
34029003007,8
34029003012,8
34029003008,8
34029003005,8
34029160002,6
34029160001,6
34029080005,6
34029080001,6
34029080011,4
34029150005,6
34001010501,6
34001010502,6
34001010404,6
34001010302,6
34001010401,6
34005185001,6
34005005001,6
34001042103,6
34005165004,6
34005165002,6
34001045001,4
34001040004,2
34005165001,6
34005165003,6
34007175006,6
34007175004,6
34001065003,6
34005105016,6
34001050001,6
34001065002,6
34001065001,6
34007175003,6
34007175007,6
34007180202,6
34007180105,6
34007180104,6
34007045001,6
34007180106,6
34007170016,6
34007170011,6
34007170009,4
34007030003,6
34007030001,4
34007170010,6
34007025002,6
34007025004,6
34007110009,6
34007065002,4
34007065001,4
34009ZZZZZZ,6
34009015001,6
34015035002,4
34015035001,4
34015120002,4
34015080002,4
34007110004,4
34007050003,6
34007110007,4
34007110003,4
34007160001,4
34007160003,4
34007140001,4
34007095001,4
34007160006,4
34007160004,4
34007155004,4
34007110008,4
34007110001,4
34007160002,4
34007075026,4
34007075011,4
34007075015,4
34007075012,4
34007075025,4
34007075016,4
34007075024,4
34007075003,4
34015035005,4
34015070002,4
34015035004,4
34015070001,4
34007075001,2
34015070003,4
34015070004,4
34007075022,2
34011040001,6
34007075002,2
34007075006,2
34015090008,4
34007075013,2
34015010008,2
34007075004,4
34015010021,2
34033070002,4
34015025005,4
34015025007,2
34033050001,4
34015010018,2
34015010006,2
34015010002,2
34015010010,2
34015010016,4
34015010022,4
34015010009,2
34015110201,2
34015110203,2
34015110202,2
34015110302,2
34015110204,2
34015110304,2
34015110303,2
34015110301,2
34015040004,4
34015040002,4
34015050001,4
34015050010,4
34015075007,4
34015075004,4
